Entity,Code,Year,Solar (% electricity)
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.0237023
Colombia,COL,2001,0.023551578
Colombia,COL,2002,0.022691173
Colombia,COL,2003,0.021934634
Colombia,COL,2004,0.020496003
Colombia,COL,2005,0.020267531
Colombia,COL,2006,0.018964536
Colombia,COL,2007,0.018450184
Colombia,COL,2008,0.018198362
Colombia,COL,2009,0.017905103
Colombia,COL,2010,0.017661603
Colombia,COL,2011,0.016972166
Colombia,COL,2012,0.016520733
Colombia,COL,2013,0.013850416
Colombia,COL,2014,0.014478066
Colombia,COL,2015,0.0131216375
Colombia,COL,2016,0.013413816
Colombia,COL,2017,0.012909889
Colombia,COL,2018,0.025255714
Colombia,COL,2019,0.16636805
Colombia,COL,2020,0.24630542
Colombia,COL,2021,0.39550117